tissue	sqtl_class	n_donors	n_pairs	spearman_rho	t	df	exact_two_sided_P	ci95_low	ci95_high
Brain-Substantianigra	p-sQTL (productive intron)	114	871	-0.0260752675516067	-0.76892920160079	869	0.4421442680633815	-0.09235407603556327	0.040433583545767565
Brain-Substantianigra	u-sQTL (unproductive intron)	114	204	-0.0501559820937105	-0.7137487688280555	202	0.4762064003798889	-0.18632784301516434	0.08790652279363546
Breast-MammaryTissue	p-sQTL (productive intron)	396	4065	-0.0016970814772986	-0.10817495668436089	4063	0.9138622514711132	-0.03243805809610075	0.029047102995384853
Breast-MammaryTissue	u-sQTL (unproductive intron)	396	1273	-0.1401998746831158	-5.048137251234675	1271	5.110471714725622e-07	-0.19391020153335123	-0.08565155892688062
Cells-Culturedfibroblasts	p-sQTL (productive intron)	483	6032	-0.0145914027546332	-1.1331879265048441	6030	0.2571803960245302	-0.03981482154923853	0.010650600385993358
Cells-Culturedfibroblasts	u-sQTL (unproductive intron)	483	1391	-0.3309222632552305	-13.069605363323445	1389	6.695905472288544e-37	-0.378144561911917	-0.28198230364720384
Cells-EBV-transformedlymphocytes	p-sQTL (productive intron)	147	2609	-0.0070293833070441	-0.3589206712524542	2607	0.7196834999393852	-0.045392539098724254	0.0313544754063018
Cells-EBV-transformedlymphocytes	u-sQTL (unproductive intron)	147	641	-0.2683389809117545	-7.041441349749253	639	4.9284847350653545e-12	-0.3399652698923002	-0.1936175086201212
Colon-Sigmoid	p-sQTL (productive intron)	318	3385	-0.0067339760669632	-0.39168091845559067	3383	0.695318660378238	-0.04041487004926983	0.026962203622465437
Colon-Sigmoid	u-sQTL (unproductive intron)	318	965	-0.1011960109388409	-3.1565431209185313	963	0.0016461275598317	-0.16341844336271136	-0.038171680771107754
Colon-Transverse	p-sQTL (productive intron)	368	3703	-0.0014336881378712	-0.08721971853793338	3701	0.9305015844174088	-0.033642613950178264	0.030778212614179675
Colon-Transverse	u-sQTL (unproductive intron)	368	1063	-0.1403517363654483	-4.617380586005954	1061	4.361800422692502e-06	-0.19908529186047053	-0.08061350300493712
Esophagus-GastroesophagealJunction	p-sQTL (productive intron)	330	3567	0.0032730893977688	0.19542942794259863	3565	0.845067917858601	-0.029549014167948466	0.03608814226674629
Esophagus-GastroesophagealJunction	u-sQTL (unproductive intron)	330	984	-0.1070879230266637	-3.3752102736191856	982	0.0007664730796799	-0.16862987486284597	-0.04471429949420998
Esophagus-Mucosa	p-sQTL (productive intron)	497	4612	-0.0142802567373258	-0.9696851942515652	4610	0.3322543038958636	-0.04312579779083356	0.014589072975894455
