clu	intron_length	meanUnprod	intron_length_bin
clu_102362	36098	0.040240563002681	20-50kb
clu_10237	2274	0.00774554959785523	1-5kb
clu_102373	773	0.00391887399463807	<1kb
clu_102374	4039	0.00385064343163539	1-5kb
clu_102377	1844	0.000919490616621984	1-5kb
clu_102385	2147	0.00326193029490617	1-5kb
clu_102386	10691	0.00432203753351206	5-20kb
clu_102387	10493	0.0292027077747989	5-20kb
clu_102399	19955	0.0060543163538874	5-20kb
clu_102401	1840	0.0035898927613941	1-5kb
clu_102408	1341	0.0198700536193029	1-5kb
clu_102410	4434	0.0790930831099196	1-5kb
clu_102423	92	0.103227694369973	<1kb
clu_102425	1087	0.032385254691689	1-5kb
clu_102427	4484	0.00160445040214477	1-5kb
clu_102428	2897	0.00653772117962466	1-5kb
clu_102435	4180	0.00370967828418231	1-5kb
clu_102436	3672	0.017829490616622	1-5kb
clu_102437	8994	0.00667002680965147	5-20kb
clu_102439	410	0.0119445576407507	<1kb
clu_102443	12781	0.0868577747989276	5-20kb
clu_102445	15128	0.0747075067024129	5-20kb
clu_102447	8262	0.0105492225201072	5-20kb
clu_102449	6130	0.0087055764075067	5-20kb
clu_102454	2687	0.0271332439678284	1-5kb
clu_102466	32608	0.194967479892761	20-50kb
clu_102473	2218	0.0979650938337802	1-5kb
clu_102497	1680	0.369402788203753	1-5kb
clu_102498	2690	0.00444319034852547	1-5kb
clu_102505	39134	0.10694490616622	20-50kb
clu_102513	1510	0.0118942627345844	1-5kb
clu_102515	6015	0.0261514745308311	5-20kb
clu_102518	594	0.112165308310992	<1kb
clu_102526	1685	0.142449785522788	1-5kb
clu_102530	209	0.048851528150134	<1kb
clu_102559	1394	0.0144115549597855	1-5kb
clu_102561	1714	0.00720171581769437	1-5kb
clu_102570	489	0.00617836461126005	<1kb
clu_102572	3938	0.043507855227882	1-5kb
clu_102573	660	0.00257560321715818	<1kb
clu_102576	1888	0.0155811260053619	1-5kb
clu_102581	3041	0.00812402144772118	1-5kb
clu_102583	2687	0.0927955227882038	1-5kb
clu_102586	1501	0.0360758445040214	1-5kb
clu_102587	1089	0.0473089544235925	1-5kb
clu_102591	4304	0.0187898123324397	1-5kb
clu_102595	315	0.255553002680965	<1kb
clu_102596	2785	0.0209958981233244	1-5kb
clu_102599	2881	0.0321579892761394	1-5kb
clu_102601	21530	0.00460455764075067	20-50kb
clu_102602	1023	0.0242828418230563	1-5kb
clu_102603	831	0.00931847184986595	<1kb
clu_102605	1775	0.034990563002681	1-5kb
clu_102608	4412	0.0206318230563003	1-5kb
clu_102612	5903	0.630236273458445	5-20kb
clu_102616	352	0.00992286863270777	<1kb
clu_102620	1714	0.00140193029490617	1-5kb
clu_102622	2780	0.0153803485254692	1-5kb
clu_102623	2502	0.000729356568364611	1-5kb
clu_102625	1548	0.0436636997319035	1-5kb
clu_102626	5934	0.00726227882037533	5-20kb
clu_102627	5825	0.0167800804289544	5-20kb
clu_102630	202	0.0136490080428954	<1kb
clu_102631	10751	0.00383045576407507	5-20kb
clu_102637	12748	0.031542654155496	5-20kb
clu_102638	381	0.0195709383378016	<1kb
clu_102641	1451	0.0316035656836461	1-5kb
clu_102645	3080	0.00781034852546917	1-5kb
clu_102646	4963	0.0119688203753351	1-5kb
clu_102649	329	0.00433190348525469	<1kb
clu_102650	5054	0.129720402144772	5-20kb
clu_102653	3579	0.0106579892761394	1-5kb
clu_102656	5114	0.224889865951743	5-20kb
clu_102657	730	0.0105593565683646	<1kb
clu_102659	2610	0.0156316890080429	1-5kb
clu_102661	367	0.054376327077748	<1kb
clu_102662	2318	0.010966273458445	1-5kb
clu_102663	2186	0.0190260589812332	1-5kb
clu_102668	1585	0.0419464343163539	1-5kb
clu_102669	2228	0.513273351206434	1-5kb
clu_10267	3277	0.00162353887399464	1-5kb
clu_102674	1594	0.0430797855227882	1-5kb
clu_102679	7153	0.0310458981233244	5-20kb
clu_102680	1330	0.0376152010723861	1-5kb
clu_102681	388	0.0503935656836461	<1kb
clu_102685	1991	0.021057855227882	1-5kb
clu_10269	2008	0.0652337533512064	1-5kb
clu_102695	2157	0.125943914209115	1-5kb
clu_10270	3918	0.238632922252011	1-5kb
clu_102709	62209	0.160553699731903	>50kb
clu_102710	476	8.96782841823056e-05	<1kb
clu_102716	1208	0.10115308310992	1-5kb
clu_102732	934	0.00841383378016086	<1kb
clu_102734	116	0.00358340482573727	<1kb
clu_102735	1651	0.0387495442359249	1-5kb
clu_102743	11374	0.0368305898123324	5-20kb
clu_10275	342	0.170807828418231	<1kb
clu_102769	1046	0.00306302949061662	1-5kb
clu_102770	2540	0.00655252010723861	1-5kb
clu_10279	6186	0.0511400536193029	5-20kb
clu_102795	1869	0.0164346380697051	1-5kb
clu_102798	7647	0.00104300268096515	5-20kb
clu_10280	6041	0.0573262466487936	5-20kb
clu_102800	9513	0.0133869705093834	5-20kb
clu_102803	309	0.0104513136729223	<1kb
clu_102805	2655	0.00321941018766756	1-5kb
clu_10281	5110	0.0202294101876676	5-20kb
clu_10282	3900	0.0174576407506702	1-5kb
clu_102829	1068	0.00913530831099196	1-5kb
clu_10283	31087	0.19930509383378	20-50kb
clu_102830	9109	0.0408777747989276	5-20kb
clu_102833	2401	0.00797605898123324	1-5kb
clu_102834	92159	0.0786280428954424	>50kb
clu_102842	1557	0.582318069705094	1-5kb
clu_102848	7053	0.0174715013404826	5-20kb
clu_10285	106	0.00631361930294906	<1kb
clu_102858	7402	0.00943461126005362	5-20kb
clu_102869	431	0.00305951742627346	<1kb
clu_102870	2268	0.00337329758713137	1-5kb
clu_102875	87	0.0042011528150134	<1kb
clu_102877	894	0.00707356568364611	<1kb
clu_102878	201	0.0174701608579088	<1kb
clu_102881	98	0.0161649061662198	<1kb
clu_102882	1868	0.0302748525469169	1-5kb
clu_102883	3331	0.00578659517426273	1-5kb
clu_102884	244	0.00528434316353887	<1kb
clu_102886	128	0.00896222520107239	<1kb
clu_102889	1091	0.000939276139410188	1-5kb
clu_102892	1261	0.0151033243967828	1-5kb
clu_102896	6349	0.0331390884718499	5-20kb
clu_102898	41239	0.0575519302949062	20-50kb
clu_102899	1270	0.0114786327077748	1-5kb
clu_102900	1504	0.0107441554959786	1-5kb
clu_102901	84	0.00265458445040214	<1kb
