Gene_name	medUPratio	meanrpkm	rpkm_bin
BAG1	0.01684	5.0721138232409	Q5 - highly expressed
BAG6	0.00027	27.7728653460074	Q5 - highly expressed
BAIAP2L1	0.00565	0.288422233659841	Q2
BAK1	0.00749	3.46993584774182	Q4
BANP	0.01105	0.100384398486069	Q1 - lowly expressed
BAP1	0.00253	8.51650126919408	Q5 - highly expressed
BARD1	0.00538	0.169422599476334	Q1 - lowly expressed
BATF	0.04119	1.5126068347789	Q4
BATF3	0.06849	0.676726282267446	Q3
BAX	0.01518	25.0591889138946	Q5 - highly expressed
BAZ1A	0.0017	0.95513852995649	Q3
BAZ1B	0.00317	1.28906198708961	Q3
BAZ2A	0.00863	3.01897104186447	Q4
BAZ2B	0.00813	0.0558812710852136	Q1 - lowly expressed
BBC3	0.07059	0.372023351030969	Q2
BBS7	0.00538	0.385046389627579	Q2
BCAS2	0.00364	4.05929061270478	Q4
BCAS3	0.01575	0.0209598606589751	Q1 - lowly expressed
BCAS4	0.01075	0.49591270065418	Q2
BCAT1	0.00716	0.395911975071664	Q2
BCCIP	0.00295	3.28367973703327	Q4
BCKDHB	0.00585	0.152912720173374	Q1 - lowly expressed
BCKDK	0.00066	18.1237434804453	Q5 - highly expressed
BCL10	0.01449	0.655479186350384	Q3
BCL2	0.03333	0.043325187546178	Q1 - lowly expressed
BCL2A1	0.03241	2.72265009273533	Q4
BCL2L1	0.01176	0.200786530294828	Q1 - lowly expressed
BCL2L13	0.02273	0.236837013525687	Q2
BCL2L2-PABPN1	0.00064	11.1241276704779	Q5 - highly expressed
BCL7B	0.02802	1.69991029127205	Q4
BCL7C	0.01	0.43695906863466	Q2
BCL9	0.03846	0.0753616859160113	Q1 - lowly expressed
BCLAF1	0.01379	3.48446795222408	Q4
BDH1	0.02542	0.422213111653767	Q2
BDP1	0.02941	0.310735571723857	Q2
BECN1	0.01471	4.34103579122508	Q5 - highly expressed
BEST1	0.99999	0.0065772034086788	Q1 - lowly expressed
BET1	0.00735	0.454650599541014	Q2
BET1L	0.01433	0.389395465062758	Q2
BFAR	0.00627	1.01211461589904	Q3
BFSP2	0.12245	0.0647039937252586	Q1 - lowly expressed
BICD1	0.0303	0.0192649417840276	Q1 - lowly expressed
BICDL1	0.02353	0.0612969362930371	Q1 - lowly expressed
BIN1	0.01342	1.39603608145277	Q3
BIN2	0.01227	0.844383691136104	Q3
BIN3	0.00601	0.701138915088372	Q3
BIRC2	0.00127	1.50008750226371	Q4
BIRC3	0.00193	7.60187761312139	Q5 - highly expressed
BIRC5	0.00545	3.60882724976211	Q4
BIRC6	0.011	0.695697326976431	Q3
BIVM-ERCC5	0.00581	1.06792971419359	Q3
BLK	0.00662	1.49158598541286	Q4
BLM	0.00205	0.526593073075854	Q2
BLMH	0.00064	2.22154354019993	Q4
BLNK	0.00182	4.35763005081025	Q5 - highly expressed
BLOC1S2	0.00169	2.68956711915103	Q4
BLOC1S5	0.04969	0.159026739002876	Q1 - lowly expressed
BLOC1S6	0.02098	0.519289018899694	Q2
BLTP1	0.002	0.361643804939376	Q2
BLTP2	0.00277	9.16005979217445	Q5 - highly expressed
BLTP3B	0.00592	0.245459329421284	Q2
BMAL1	0.00647	0.180715795528267	Q1 - lowly expressed
BMAL2	0.01093	1.18991587240753	Q3
BMF	0.02344	0.455001335493032	Q2
BMP2K	0.00312	0.167916213920869	Q1 - lowly expressed
BMP8B	0.09302	0.0447730934234137	Q1 - lowly expressed
BMPR2	0.00592	0.103804384827149	Q1 - lowly expressed
BMS1	0.0027	2.30636573514502	Q4
BNIP2	0.00344	1.81680281137565	Q4
BOD1	0.0625	1.18309479507963	Q3
BOD1L1	0.00875	1.13757136927735	Q3
BOLA2-SMG1P6	0.15116	2.22811611549955	Q4
BOP1	0.00083	4.09889628889958	Q4
BORA	0.01695	1.11731852005142	Q3
BPNT1	0.00181	1.58307058317785	Q4
BPNT2	0.0375	0.244241563550634	Q2
BPTF	0.00275	0.624276610852341	Q3
BRAF	0.01846	0.139020711994651	Q1 - lowly expressed
BRAP	0.00409	0.67441557656161	Q3
BRAT1	0.02454	1.8352800741594	Q4
BRCA1	0.00784	0.401304864771479	Q2
BRCA2	0.01994	0.268415697528373	Q2
BRD1	0.01684	0.332103130105234	Q2
BRD2	0.03662	17.062090494578	Q5 - highly expressed
BRD3	0.0303	0.218018958098732	Q2
BRD3OS	0.06667	0.204705279332264	Q1 - lowly expressed
BRD4	0.01658	0.591191259718394	Q2
BRD7	0.00617	2.79737364228309	Q4
BRD8	0.01203	1.62474934993887	Q4
BRD9	0.04298	0.975247239109909	Q3
BRF1	0.00752	0.232515283056515	Q2
BRI3	0.00312	0.278136771300914	Q2
BRI3BP	0.01176	0.212626630858415	Q1 - lowly expressed
BRIP1	0.00498	0.10171853199771	Q1 - lowly expressed
BRK1	0.0364	8.41581295734358	Q5 - highly expressed
BRMS1	0.00287	9.83951882112746	Q5 - highly expressed
BRMS1L	0.0059	0.148993252346463	Q1 - lowly expressed
BROX	0.02	0.804286446035382	Q3
BRPF1	0.00888	1.08908155596708	Q3
BRPF3	0.01667	0.154460864347583	Q1 - lowly expressed
BRWD1	0.00403	0.138100072541863	Q1 - lowly expressed
BSCL2	0.00313	2.40226114876384	Q4
BSDC1	0.00383	1.03858958175505	Q3
BST2	0.00163	125.981852878213	Q5 - highly expressed
BTAF1	0.02309	1.77934546799834	Q4
BTBD1	0.02456	1.1302450663827	Q3
BTBD10	0.00481	0.278285250877476	Q2
BTBD2	0.00321	1.0975835156922	Q3
BTBD3	0.07692	0.0447698122282504	Q1 - lowly expressed
BTBD7	0.02174	0.0689015193970808	Q1 - lowly expressed
BTF3	0.00013	121.512584330265	Q5 - highly expressed
BTG1	0.00337	6.52800151958619	Q5 - highly expressed
BTG3	0.00789	1.45105190763447	Q3
BTLA	0.00567	0.791012647943367	Q3
BTN2A1	0.11579	0.670736321412439	Q3
BTN2A2	0.00357	1.01303340715043	Q3
BTN3A1	0.01422	2.25547753898942	Q4
BTN3A2	0.00756	3.97317742797594	Q4
BTN3A3	0.01244	1.9758591572442	Q4
BUB1	0.00111	6.97801456845728	Q5 - highly expressed
BUB1B	0.00403	2.37181261321659	Q4
BUD13	0.01	1.1653382203382	Q3
BUD23	0.00717	15.572074585022	Q5 - highly expressed
BUD31	0.00461	9.13327003018056	Q5 - highly expressed
BYSL	0.00279	2.24123425253315	Q4
C10orf143	0.17647	0.0120742805561826	Q1 - lowly expressed
C10orf88	0.0101	0.250032637888416	Q2
C11orf24	0.04027	1.53867046088469	Q4
C11orf58	0.00089	1.23835022900522	Q3
C11orf65	0.04762	0.00797295420172578	Q1 - lowly expressed
C11orf80	0.02626	0.210197276952196	Q1 - lowly expressed
C12orf29	0.03743	0.991901124875177	Q3
C12orf4	0.00364	0.557065923259737	Q2
C12orf42	0.33333	0.00268866893631533	Q1 - lowly expressed
C12orf76	0.64706	0.0326779384449974	Q1 - lowly expressed
C15orf39	0.00483	0.613616969928809	Q3
C15orf40	0.03349	0.481159788927273	Q2
C16orf87	0.00687	0.54251026157667	Q2
C17orf100	1	0.00954503284111123	Q1 - lowly expressed
C17orf99	0.03704	0.0944249314182455	Q1 - lowly expressed
C18orf21	0.00427	3.24638711942899	Q4
C19orf12	0.11765	0.0531768130867244	Q1 - lowly expressed
C19orf38	0.1	0.162620342178159	Q1 - lowly expressed
C19orf47	0.01887	0.540726518142032	Q2
C19orf54	0.05319	1.15759662571214	Q3
C1GALT1	0.04167	0.081440149150318	Q1 - lowly expressed
C1QBP	0.00119	21.2810867574722	Q5 - highly expressed
C1QTNF3	0.14286	0.0511219369554844	Q1 - lowly expressed
C1QTNF6	0.55555	0.0279278917349357	Q1 - lowly expressed
C1RL	0.01667	0.266109215702185	Q2
C1orf109	0.05634	0.507343268849263	Q2
C1orf112	0.00753	0.296101013180463	Q2
C1orf131	0.00188	1.41718966620575	Q3
C1orf159	0.01493	0.124468076696663	Q1 - lowly expressed
C1orf174	0.00621	1.41240009872131	Q3
C1orf43	0.00396	10.0668555219414	Q5 - highly expressed
C1orf50	0.0266	0.879289226812769	Q3
C1orf52	0.27778	0.743778107005396	Q3
C1orf54	0.08333	0.535667290072515	Q2
C20orf204	0.05882	0.63716708521862	Q3
C21orf58	0.01307	0.252360129102973	Q2
C2CD2	0.01087	0.0877979063879436	Q1 - lowly expressed
C2CD2L	0.00633	0.871718022156148	Q3
C2CD3	0.0102	0.140953566876007	Q1 - lowly expressed
C2CD5	0.00166	0.629932789548702	Q3
C2orf42	0.00647	0.750599113781512	Q3
C2orf68	0.03268	1.40215528082791	Q3
