tissue_pair	splicing_class	n_genes	df	spearman_rho	ci_low_95	ci_high_95	p_value_two_sided	bh_adjusted_p	significant_at_fdr_0.1
Brain-Substantianigra_v_Skin-SunExposed_Lowerleg	unproductive	150	148	-0.2681168051913418	-0.4131207122688747	-0.10985386242767844	0.0009091554955908	0.0023242933179959922	True
Breast-MammaryTissue_v_Cells-EBV-transformedlymphocytes	unproductive	92	90	-0.3397345992016398	-0.5134906584608694	-0.13921601758737034	0.0009223744690862	0.002352871156761922	True
Brain-Spinalcord_cervicalc-1_v_WholeBlood	unproductive	195	193	-0.2348524818333359	-0.3650538153862287	-0.09564047986773012	0.0009504535339186	0.002419145528936304	True
WholeBlood_v_Adipose-Subcutaneous	unproductive	115	113	-0.3038664878087272	-0.46463004836084953	-0.12371093614659157	0.0009619182451201	0.002442933340580342	True
Brain-Hippocampus_v_Artery-Tibial	unproductive	112	110	-0.3069925171695083	-0.4694185755724821	-0.12447003229535353	0.0009935952806739	0.00251783595300441	True
Testis_v_Adipose-Subcutaneous	unproductive	250	248	-0.2065411606585704	-0.323533027266258	-0.08332947676305444	0.0010204523344847	0.0025795473526237047	True
Brain-Putamen_basalganglia_v_Skin-NotSunExposed_Suprapubic	unproductive	155	153	-0.2613161032515871	-0.4046405378715946	-0.10546160816256342	0.001022422497961	0.0025795473526237047	True
Brain-Hypothalamus_v_Ovary	unproductive	142	140	-0.2722369030430163	-0.4207247466898334	-0.10954273029941858	0.0010471774952615	0.0026362350481146496	True
Esophagus-Muscularis_v_Brain-Amygdala	unproductive	90	88	-0.3396715643906655	-0.5152325547052523	-0.136752776656982	0.0010554192595852	0.002651194784971102	True
Brain-Putamen_basalganglia_v_Heart-LeftVentricle	unproductive	81	79	-0.3561653116531165	-0.5380017766024517	-0.14265554502391276	0.0011008999998817	0.002759429782312174	True
Uterus_v_Brain-Hippocampus	unproductive	125	123	-0.288479262672811	-0.44464659072075113	-0.11529079000676017	0.0011041720545836	0.002761627720032301	True
Brain-Caudate_basalganglia_v_Nerve-Tibial	unproductive	109	107	-0.3076174589936057	-0.47207092420431274	-0.12247372113190595	0.0011384342603741	0.0028411573640938033	True
Testis_v_Nerve-Tibial	unproductive	251	249	-0.2040705748434832	-0.320965636268566	-0.08105125712477211	0.0011490721512091	0.002855345237810544	True
Muscle-Skeletal_v_Adipose-Subcutaneous	unproductive	103	101	-0.3144137415982077	-0.4824845630740223	-0.12401235295436465	0.0012187855199756	0.003022063880713692	True
Heart-LeftVentricle_v_Spleen	unproductive	80	78	-0.3538677918424754	-0.5371229856960446	-0.13871338889963983	0.0012812490894068	0.0031701291847339923	True
Uterus_v_Brain-Amygdala	unproductive	139	137	-0.2690245319272532	-0.41934034624611555	-0.10435128512218786	0.0013630575287189	0.003358131048318145	True
Testis_v_Artery-Tibial	unproductive	245	243	-0.2025908004145281	-0.3209539290814983	-0.07799656815402273	0.0014328369283172	0.0035225180775047583	True
Spleen_v_Cells-EBV-transformedlymphocytes	unproductive	85	83	-0.3395348837209302	-0.5198682538117959	-0.13023040581842923	0.0014777829179076	0.0036252844773350273	True
Brain-CerebellarHemisphere_v_Uterus	unproductive	201	199	-0.2221693512634845	-0.3513068661109992	-0.0847363642071297	0.0015251230855788	0.003725565503543128	True
Pancreas_v_Skin-SunExposed_Lowerleg	unproductive	56	54	-0.4127819548872181	-0.6165470654350647	-0.15719023873082671	0.0015691486492038	0.0038250071723720533	True
Brain-Amygdala_v_Colon-Sigmoid	unproductive	105	103	-0.3044267053701016	-0.4722031980685167	-0.1153646216386408	0.0015918272815157	0.0038664037403976664	True
