tissue_pair	splicing_class	n_genes	df	spearman_rho	ci_low_95	ci_high_95	p_value_two_sided	bh_adjusted_p	significant_at_fdr_0.1
Artery-Aorta_v_SmallIntestine-TerminalIleum	unproductive	52	50	-0.0397848544352428	-0.3094268920916114	0.23577886922251115	0.7794549118279096	0.8383502922925185	False
Brain-Spinalcord_cervicalc-1_v_Thyroid	unproductive	131	129	0.0230395558639833	-0.14909754151468924	0.19382130584152898	0.7939327955869144	0.8515390821504302	False
Heart-LeftVentricle_v_Thyroid	unproductive	53	51	-0.0362844702467344	-0.3036835343011269	0.23641323238534387	0.7964524436714839	0.8526552159268532	False
Brain-Cerebellum_v_Brain-Hypothalamus	unproductive	62	60	-0.026869129460351	-0.27483575245487984	0.22444879843413132	0.83577596163175	0.8865222481705685	False
AdrenalGland_v_Spleen	unproductive	51	49	0.0289592760180995	-0.24866410508387343	0.302185614585932	0.840131127372195	0.8895052248486142	False
Uterus_v_Skin-SunExposed_Lowerleg	unproductive	64	62	-0.0244047619047619	-0.2686373858070339	0.22277623252071535	0.8481976688346095	0.8947592974989063	False
Spleen_v_Skin-SunExposed_Lowerleg	unproductive	95	93	0.0182530795072788	-0.18398314378470365	0.21900667160774798	0.8606330157533213	0.9037430484185606	False
Esophagus-Muscularis_v_Cells-Culturedfibroblasts	unproductive	56	54	-0.0195488721804511	-0.28102889206206905	0.24463298505711342	0.8862866431306563	0.91834444855438	False
Brain-Nucleusaccumbens_basalganglia_v_Brain-CerebellarHemisphere	unproductive	70	68	0.017373808065786	-0.2185093906399796	0.25133876235027525	0.886485144181288	0.91834444855438	False
Artery-Aorta_v_Skin-NotSunExposed_Suprapubic	unproductive	53	51	0.0180616029672633	-0.25349078468235664	0.28697526352171754	0.8978597821370153	0.9281369027027567	False
Brain-CerebellarHemisphere_v_Brain-Anteriorcingulatecortex_BA24	unproductive	76	74	0.0109364319890635	-0.21505589561016794	0.23581701951139164	0.925296419374376	0.9474838113131931	False
Artery-Coronary_v_Skin-SunExposed_Lowerleg	unproductive	53	51	0.0092726979519432	-0.261682518994534	0.27887306417480384	0.94745908599189	0.9633336209423713	False
Brain-Spinalcord_cervicalc-1_v_Colon-Sigmoid	unproductive	94	92	-0.0043420149550265	-0.20677799104376843	0.1984504689444305	0.966869929384415	0.9770385877127349	False
Thyroid_v_Liver	unproductive	85	83	-0.0019933554817275	-0.21502629350975278	0.21122066609417958	0.9855545032024386	0.9900804077119459	False
WholeBlood_v_Cells-EBV-transformedlymphocytes	unproductive	112	110	0.0014008952062049	-0.1842028514747059	0.18690817368380064	0.9883039371701696	0.9916076468566404	False
Cells-Culturedfibroblasts_v_Prostate	unproductive	53	51	-0.0019351717464925	-0.2720869050154823	0.26849932348173533	0.9890275749220612	0.9916076468566404	False
Pancreas_v_Heart-LeftVentricle	productive	416	414	0.2027517637995205	0.10775105244559838	0.2940832655374674	3.0965355045260654e-05	0.03570305436718554	True
Ovary_v_Muscle-Skeletal	productive	629	627	0.1582595724567617	0.08060093461540384	0.23400843709236258	6.708793504422227e-05	0.03671725830611507	True
AdrenalGland_v_Muscle-Skeletal	productive	634	632	0.1543300202998245	0.07693262477592039	0.22987856465471834	9.55349305449655e-05	0.03671725830611507	True
Heart-AtrialAppendage_v_Brain-Cerebellum	productive	788	786	0.1316988268865303	0.06213134556517128	0.19999280702505787	0.0002095200392744	0.04511200004517159	True
Pituitary_v_Muscle-Skeletal	productive	783	781	0.1319793168928815	0.06219045360643466	0.20048386145412164	0.0002127503729679	0.04511200004517159	True
Cells-Culturedfibroblasts_v_Brain-Cerebellum	productive	665	663	0.1411008354707471	0.06540073015969189	0.21518612915474117	0.0002621563314534	0.04511200004517159	True
Pancreas_v_Heart-AtrialAppendage	productive	445	443	0.171508903196565	0.07914595571238911	0.2609522135767412	0.000278222451705	0.04511200004517159	True
Brain-Cortex_v_Heart-AtrialAppendage	productive	652	650	0.139931580822441	0.06345938422808889	0.2147701132731152	0.0003385735341391	0.04511200004517159	True
Muscle-Skeletal_v_Brain-Hippocampus	productive	761	759	0.1286802117685684	0.05784975618818766	0.19822165520058252	0.0003725928396779	0.04511200004517159	True
Artery-Coronary_v_Muscle-Skeletal	productive	596	594	0.1447841523795256	0.06481100143607023	0.2229093665682757	0.0003912575892903	0.04511200004517159	True
Brain-Cortex_v_MinorSalivaryGland	productive	784	782	0.1219435258433391	0.052112900871794585	0.19058744439020184	0.0006221987579032	0.0652177425329445	True
Brain-CerebellarHemisphere_v_Brain-Amygdala	productive	417	415	-0.1637073052527453	-0.2563184387514102	-0.06811786724041452	0.000791848359732	0.07023085836699969	True
Brain-Anteriorcingulatecortex_BA24_v_Skin-SunExposed_Lowerleg	productive	827	825	0.1148655792534672	0.04683707598033487	0.18183349656462117	0.0009355565025905	0.07704976053477475	True
Brain-Putamen_basalganglia_v_Muscle-Skeletal	productive	748	746	0.1181506159140898	0.0466135500603887	0.18848194853295477	0.0012066138998635	0.08695161415891346	True
Esophagus-Mucosa_v_Pituitary	productive	459	457	0.1485263283922335	0.05728188456745628	0.2373100585693962	0.0014172699668398	0.09100498247496427	True
Kidney-Cortex_v_Muscle-Skeletal	productive	698	696	0.1199565820881869	0.045892075114700295	0.192709465707641	0.0014983294141248	0.09100498247496427	True
Heart-AtrialAppendage_v_Brain-Caudate_basalganglia	productive	533	531	0.1344089801356781	0.04966732815837671	0.21722926856022054	0.001871445394041	0.10542832648128878	False
Muscle-Skeletal_v_Skin-SunExposed_Lowerleg	productive	628	626	0.1235668671010579	0.045472962392656156	0.20015963856543337	0.0019202036913331	0.10542832648128878	False
Heart-AtrialAppendage_v_Brain-Hippocampus	productive	552	550	0.1306754442338652	0.04738588651550568	0.21216043804856433	0.0020950291138276	0.10979857128378286	False
Adipose-Visceral_Omentum_v_Muscle-Skeletal	productive	619	617	0.1211790254654808	0.04249327592092878	0.19837078025412253	0.0025282392075583	0.12674173070933564	False
Heart-AtrialAppendage_v_Liver	productive	434	432	0.1434328906482389	0.04949588422570203	0.2348545806093991	0.0027446980192624	0.13185986734206445	False
MinorSalivaryGland_v_Muscle-Skeletal	productive	655	653	0.116292472050687	0.039782809523413454	0.19144643573767786	0.0028758695791143	0.1326351049887515	False
Pancreas_v_Muscle-Skeletal	productive	622	620	0.1181498238922728	0.03963142509682111	0.19521806525793414	0.0031668204107664	0.1404363051389869	False
Esophagus-Mucosa_v_Heart-LeftVentricle	productive	408	406	0.1425872931156112	0.04564866703627404	0.23686556186346538	0.0039011526277839	0.1655202846901174	False
Heart-LeftVentricle_v_Brain-Hypothalamus	productive	463	461	0.132198368542131	0.041171188639891096	0.22104911557615595	0.0043802307640174	0.1669647751707209	False
Cells-Culturedfibroblasts_v_Brain-CerebellarHemisphere	productive	731	729	0.1049886623797565	0.03252451098404389	0.17635481579994605	0.0044890789508173	0.1669647751707209	False
Esophagus-Mucosa_v_Brain-FrontalCortex_BA9	productive	846	844	0.0969087395890279	0.02954217910684631	0.16339891960764213	0.0047848808445067	0.16864004028498486	False
Heart-AtrialAppendage_v_Brain-Amygdala	productive	514	512	0.1232214943428195	0.03680205898694518	0.20781159928447324	0.0051501177704553	0.16864004028498486	False
Heart-AtrialAppendage_v_Brain-FrontalCortex_BA9	productive	634	632	0.1106958716330262	0.032875922845278696	0.18718172162554111	0.0052654305726448	0.16864004028498486	False
Muscle-Skeletal_v_Colon-Sigmoid	productive	534	532	0.1197237976320564	0.03492714816803171	0.20280892468192993	0.0056036165664057	0.1742774581376661	False
Uterus_v_Muscle-Skeletal	productive	625	623	0.1103657475213379	0.031979906238084485	0.18740225023237123	0.0057437497044504	0.1742774581376661	False
Muscle-Skeletal_v_Cells-EBV-transformedlymphocytes	productive	820	818	0.0951703455731377	0.02672733006128022	0.1627252462262691	0.0063855098440883	0.18006255626032436	False
AdrenalGland_v_Brain-Cerebellum	productive	828	826	0.0946790977612047	0.026567343150015073	0.1619158215619397	0.0064029183058745	0.18006255626032436	False
Vagina_v_Muscle-Skeletal	productive	627	625	0.1079030238930937	0.029626670298300264	0.1848639983767048	0.0068428562383408	0.18740779888904122	False
Brain-Putamen_basalganglia_v_Heart-LeftVentricle	productive	493	491	0.1212113703844845	0.032931594856860355	0.20761445859087657	0.0070507317523722	0.18740779888904122	False
MinorSalivaryGland_v_Brain-FrontalCortex_BA9	productive	823	821	0.0935136223481868	0.025187936473821018	0.16096969833271982	0.007263323387557	0.18740779888904122	False
Heart-AtrialAppendage_v_Brain-Putamen_basalganglia	productive	527	525	0.1167154572907831	0.03132703932074132	0.20041255985551837	0.0073142679531716	0.18740779888904122	False
Lung_v_Muscle-Skeletal	productive	685	683	0.1018435731596759	0.026946109911142616	0.17560397973987954	0.0076401464679658	0.19150193212096886	False
Heart-AtrialAppendage_v_Brain-Anteriorcingulatecortex_BA24	productive	568	566	0.110874598069397	0.028615169614050567	0.191642407236836	0.0081743020976993	0.19635354830515192	False
Brain-Amygdala_v_Muscle-Skeletal	productive	774	772	0.0939015268758919	0.023432891591860683	0.16344166531034696	0.0089495233816629	0.21058776447055763	False
Cells-Culturedfibroblasts_v_Muscle-Skeletal	productive	752	750	0.0949593311453431	0.023465213994905806	0.16548710367383246	0.0091715723094195	0.21149645745521364	False
Heart-AtrialAppendage_v_Skin-SunExposed_Lowerleg	productive	446	444	0.122343720347293	0.029482620943147915	0.21311106983175637	0.0097036934550095	0.21516074141588373	False
Heart-AtrialAppendage_v_Pituitary	productive	441	439	0.120823803247379	0.027418210386985428	0.21213779228192975	0.0111040266232844	0.2415649565405078	False
Thyroid_v_Muscle-Skeletal	productive	664	662	0.0979139777403407	0.02180897537971226	0.1728907482506662	0.0115902232564846	0.24231986631848654	False
Brain-Nucleusaccumbens_basalganglia_v_Heart-AtrialAppendage	productive	558	556	0.1067050945852505	0.02367612092795383	0.18827211774732122	0.0116642517535226	0.24231986631848654	False
Heart-AtrialAppendage_v_Esophagus-Mucosa	productive	434	432	0.1205477074291718	0.02638015190678667	0.2125946711480519	0.0119621548965567	0.24231986631848654	False
Muscle-Skeletal_v_Liver	productive	667	665	0.0972458202936743	0.02130992293619283	0.17206615422269253	0.0119793862794048	0.24231986631848654	False
Brain-Hypothalamus_v_Muscle-Skeletal	productive	764	762	0.0894049915489815	0.018451783495060967	0.15946221184916645	0.0134318539569651	0.2550434650853965	False
Thyroid_v_Skin-SunExposed_Lowerleg	productive	316	314	0.1385277414808213	0.028102868462249523	0.24561238774410193	0.0137143927452685	0.2550434650853965	False
Brain-CerebellarHemisphere_v_Heart-AtrialAppendage	productive	823	821	0.0852796428585714	0.016916429410629326	0.15284922449765015	0.0143954402327671	0.26345940616476926	False
Brain-Anteriorcingulatecortex_BA24_v_Muscle-Skeletal	productive	783	781	0.0867225003168629	0.016629568018461643	0.15596722669119942	0.0152083786877366	0.2676442957206762	False
WholeBlood_v_Muscle-Skeletal	productive	713	711	0.0907779468503594	0.017319291886957692	0.16326186210682275	0.0153204887402989	0.2676442957206762	False
Pituitary_v_Lung	productive	390	388	0.1223028917028033	0.022911772445815173	0.21930004192895663	0.0156656002215534	0.2695886127679264	False
Brain-Caudate_basalganglia_v_Heart-LeftVentricle	productive	491	489	0.1084513913947548	0.01989308078682127	0.19532119980117704	0.0162126985628641	0.27490060945562217	False
Spleen_v_Muscle-Skeletal	productive	695	693	0.0903575649649891	0.015944759525852448	0.16377496150469115	0.0171875548290364	0.27812532435601983	False
Brain-Anteriorcingulatecortex_BA24_v_Skin-NotSunExposed_Suprapubic	productive	792	790	0.0846250409359558	0.014925437782931953	0.1535062149584171	0.0172155132581739	0.27812532435601983	False
Brain-Substantianigra_v_Heart-AtrialAppendage	productive	473	471	0.1091545612036493	0.0189136575159728	0.19763141620896815	0.0175597338112619	0.27812532435601983	False
Brain-Cortex_v_Pancreas	productive	780	778	0.0849760095475474	0.014740233994329931	0.1543773359717443	0.0176089754362441	0.27812532435601983	False
AdrenalGland_v_Brain-CerebellarHemisphere	productive	818	816	0.0823390506530122	0.013754212250901331	0.1501527445059047	0.0185050803298845	0.28819315111427635	False
Brain-Substantianigra_v_Muscle-Skeletal	productive	735	733	0.0866656345754338	0.014304368525323666	0.15812385531768788	0.0187731190365958	0.28819315111427635	False
Testis_v_Brain-Cerebellum	productive	1217	1215	0.0672301848725095	0.011015677509597142	0.12302107519808934	0.018996252805451	0.28819315111427635	False
Brain-Amygdala_v_Heart-LeftVentricle	productive	478	476	0.1066930897632342	0.016914230458943073	0.19476527244847752	0.0196371536594367	0.2902774124273143	False
Artery-Aorta_v_Pituitary	productive	403	401	0.1156484470925198	0.017840989620640884	0.2112635245036943	0.0202215355872053	0.2914428816505964	False
Stomach_v_Muscle-Skeletal	productive	571	569	0.0960340776662841	0.013902397193633498	0.17687857476382737	0.0217290846273363	0.2977938946999797	False
Brain-Cortex_v_Ovary	productive	683	681	0.0875653114985091	0.012484377862221951	0.16166438996942703	0.0220990463035664	0.2977938946999797	False
MinorSalivaryGland_v_Brain-Cerebellum	productive	824	822	0.0796242726874293	0.011281161967004728	0.1472269326125649	0.0222655523000622	0.2977938946999797	False
Cells-Culturedfibroblasts_v_Artery-Tibial	productive	345	343	0.122921443539954	0.017162231184609023	0.2259605240109935	0.0223983055489299	0.2977938946999797	False
Prostate_v_Muscle-Skeletal	productive	574	572	0.0950245414204083	0.013104474975537943	0.17567749386485826	0.0227971268008137	0.29818798537403146	False
MinorSalivaryGland_v_Brain-Anteriorcingulatecortex_BA24	productive	740	738	0.0831017072049408	0.010972621879908637	0.15437047413921998	0.0237778007600623	0.29818798537403146	False
Brain-Cortex_v_Esophagus-Mucosa	productive	810	808	0.0791455000390984	0.010209065100119373	0.14733317963249096	0.0242858826008636	0.29818798537403146	False
Brain-Substantianigra_v_Heart-LeftVentricle	productive	427	425	0.1086092743136673	0.013573988905531137	0.2016999109546181	0.0248090106843493	0.29818798537403146	False
Esophagus-Muscularis_v_Muscle-Skeletal	productive	543	541	0.0961841902045832	0.011943623028261373	0.17906904769805793	0.0250032580788223	0.29818798537403146	False
Cells-Culturedfibroblasts_v_Uterus	productive	331	329	0.123180214309046	0.015177152375705473	0.22834205270949595	0.0250175872028061	0.29818798537403146	False
Vagina_v_Brain-FrontalCortex_BA9	productive	740	738	0.0823549205529908	0.010222999569297606	0.1536342011142514	0.0250704521632997	0.29818798537403146	False
Heart-LeftVentricle_v_Brain-Hippocampus	productive	484	482	0.1017526820058795	0.012507713012199963	0.18938935696934642	0.025183017473166	0.29818798537403146	False
Heart-AtrialAppendage_v_Thyroid	productive	344	342	0.1206808476709931	0.014747067336082123	0.22393555711976984	0.0251991589692946	0.29818798537403146	False
Testis_v_Stomach	productive	609	607	0.0906303031057151	0.01109779919546717	0.16902332506227372	0.0253139819178842	0.29818798537403146	False
Brain-Cerebellum_v_Liver	productive	915	913	0.0739233455776212	0.009068697771243459	0.1381586856229924	0.0253446856605855	0.29818798537403146	False
Uterus_v_Pituitary	productive	305	303	0.1274477817714633	0.014903213940951152	0.2368034542560097	0.0260326550121799	0.2996775244184318	False
Heart-AtrialAppendage_v_SmallIntestine-TerminalIleum	productive	384	382	0.11344576521018	0.013200918697671104	0.2114328667969585	0.0262152895882436	0.2996775244184318	False
Pancreas_v_Brain-Cerebellum	productive	766	764	0.0798759514230744	0.008977690308077116	0.14997516154334953	0.0270617537489072	0.30293400070378645	False
Brain-Spinalcord_cervicalc-1_v_Muscle-Skeletal	productive	774	772	0.0789064073945344	0.008374424087311462	0.14865714145588793	0.028155044749422	0.30552191163171977	False
AdrenalGland_v_WholeBlood	productive	489	487	0.0985659409806677	0.009765256109888959	0.18582414647134524	0.0293054084062969	0.30552191163171977	False
MinorSalivaryGland_v_Brain-Amygdala	productive	677	675	0.0836991639315981	0.008268156808803927	0.15818302623269112	0.029436953985472	0.30552191163171977	False
Pituitary_v_Nerve-Tibial	productive	355	353	0.1152186596755516	0.010919616466803886	0.21703762212097955	0.0299718103686783	0.30552191163171977	False
Heart-LeftVentricle_v_Thyroid	productive	341	339	0.1173922286550378	0.010960905762690803	0.22119347742507814	0.0302100204510302	0.30552191163171977	False
Brain-Cerebellum_v_Skin-SunExposed_Lowerleg	productive	905	903	0.071974404668445	0.006754848956299742	0.13658422683616342	0.0303848088925607	0.30552191163171977	False
Brain-Cortex_v_Skin-NotSunExposed_Suprapubic	productive	817	815	0.0754384478673048	0.00678756976828896	0.14338155482438236	0.0310801785779538	0.30552191163171977	False
Heart-AtrialAppendage_v_Ovary	productive	313	311	0.1218156919424336	0.010692573965524706	0.2299667254950633	0.0311973137180216	0.30552191163171977	False
Heart-LeftVentricle_v_Brain-FrontalCortex_BA9	productive	628	626	0.0858183699625886	0.00748707008846737	0.1631029064536522	0.0315326170721376	0.30552191163171977	False
Brain-CerebellarHemisphere_v_Thyroid	productive	783	781	0.0763625416071832	0.006231212087569669	0.14574635512196601	0.0326391993160501	0.3059823645209417	False
Skin-SunExposed_Lowerleg_v_Brain-FrontalCortex_BA9	productive	909	907	0.0707911439473465	0.00571272205396578	0.13527244583013756	0.0328372518979426	0.3059823645209417	False
Heart-AtrialAppendage_v_Kidney-Cortex	productive	367	365	0.11129289457111	0.008707973469085504	0.21155961732255307	0.0330547673791167	0.3059823645209417	False
Brain-Cortex_v_Prostate	productive	619	617	0.0856623505575363	0.0067587697506969425	0.16350585369206544	0.0331002917210861	0.3059823645209417	False
Brain-Cortex_v_Colon-Sigmoid	productive	621	619	0.085440686716036	0.006664341844552083	0.16316308459308765	0.03327287211276	0.3059823645209417	False
Cells-Culturedfibroblasts_v_Brain-Hypothalamus	productive	682	680	0.0814529380080523	0.006292542207510303	0.15569819809591764	0.0334377952555409	0.3059823645209417	False
Brain-Cortex_v_Heart-LeftVentricle	productive	599	597	0.0867272275732695	0.0065114888518373135	0.16583395138045665	0.0338234947593822	0.30707472013832815	False
Vagina_v_Brain-CerebellarHemisphere	productive	788	786	0.0745841617408036	0.004671558109560746	0.14377119518270634	0.0363250830719966	0.3246730293179231	False
Brain-Anteriorcingulatecortex_BA24_v_Colon-Sigmoid	productive	603	601	0.0847208195919501	0.004765713190332472	0.1635995727418778	0.0375408469508254	0.3268647130421054	False
Skin-SunExposed_Lowerleg_v_Colon-Sigmoid	productive	375	373	0.1070549714761602	0.005556585284461244	0.20637003862260353	0.038251639544335	0.3291353760792407	False
Brain-Nucleusaccumbens_basalganglia_v_Ovary	productive	586	584	0.0849974179847005	0.0038830873006448327	0.16500055613130518	0.0396958708158381	0.33428778016091926	False
Brain-Cerebellum_v_Cells-EBV-transformedlymphocytes	productive	927	925	0.0675631021799234	0.003114556703809994	0.1314527016493149	0.0397202306002133	0.33428778016091926	False
MinorSalivaryGland_v_Brain-Hippocampus	productive	647	645	0.0803682493784865	0.0031839328602704547	0.15660065256693556	0.0409914931596877	0.33616394495481017	False
Esophagus-GastroesophagealJunction_v_Brain-CerebellarHemisphere	productive	718	716	0.0762236578350749	0.0029669000573154455	0.14866665898526646	0.0411648978291328	0.33616394495481017	False
Pancreas_v_Ovary	productive	325	323	0.1131907058298764	0.004104024154339352	0.21961510646067564	0.0414230582300278	0.33616394495481017	False
Muscle-Skeletal_v_Brain-FrontalCortex_BA9	productive	836	834	0.0701263770296689	0.0022495025907966217	0.13736002939357334	0.0426549768906606	0.33616394495481017	False
Brain-CerebellarHemisphere_v_Stomach	productive	739	737	0.0744969630870988	0.002289836041589995	0.1459312805663935	0.0429133458612246	0.33616394495481017	False
Skin-NotSunExposed_Suprapubic_v_Brain-FrontalCortex_BA9	productive	876	874	0.0683945737171669	0.002089256131996759	0.13410114188483566	0.0429933846256146	0.33616394495481017	False
Pituitary_v_Breast-MammaryTissue	productive	350	348	0.10719179142721	0.002087006783905052	0.2099541439351401	0.0450723956819812	0.34189784356134423	False
Brain-FrontalCortex_BA9_v_Colon-Sigmoid	productive	657	655	0.0780008164337476	0.001402443499371885	0.15368921661585724	0.0456563870638619	0.3440641456511946	False
Heart-LeftVentricle_v_Pituitary	productive	421	419	0.0969064119952293	0.001121704919061271	0.19092910633481355	0.0469090392575557	0.3454536479817739	False
Cells-Culturedfibroblasts_v_Testis	productive	516	514	0.0874957266381412	0.0010200500680689515	0.1726725214013284	0.0469765215927161	0.3454536479817739	False
Testis_v_Prostate	productive	771	769	0.0715465372925958	0.0008544353597245767	0.14152710500125334	0.0470392217980386	0.3454536479817739	False
Muscle-Skeletal_v_Skin-NotSunExposed_Suprapubic	productive	642	640	0.0780917397632992	0.0005979706554172927	0.15465318124045038	0.047947697298428	0.34989680370308535	False
Brain-Nucleusaccumbens_basalganglia_v_Heart-LeftVentricle	productive	496	494	0.0886649499844462	0.00045274192651896197	0.17550793844077747	0.048430848597753	0.3511998014667246	False
Brain-Cortex_v_Muscle-Skeletal	productive	844	842	0.0676188218368055	5.9987801471831034e-05	0.1345632092050759	0.049555980430275	0.3548946921497334	False
Brain-Hypothalamus_v_Skin-SunExposed_Lowerleg	productive	785	783	0.0699168241218487	-0.00014268511398261654	0.13929333535994795	0.0502072091220833	0.35733896368988916	False
Vagina_v_Brain-Hippocampus	productive	579	577	0.0811653712507573	-0.00045524091358022865	0.16171170483209513	0.0509339134581732	0.3602871301673233	False
Vagina_v_Brain-Amygdala	productive	587	585	0.0804019566300579	-0.0006589705421982034	0.16041315871873355	0.0515364153388633	0.36232613954700843	False
Heart-AtrialAppendage_v_WholeBlood	productive	626	624	0.0773271292540597	-0.001159784472500001	0.15486717411756143	0.0531434435543705	0.3713599419284193	False
Pancreas_v_Pituitary	productive	376	374	0.0991785628268738	-0.002226653422044679	0.19856482018597466	0.0546711909209488	0.37973423573406	False
MinorSalivaryGland_v_Brain-Hypothalamus	productive	664	662	0.0743426276564666	-0.0018589782934020141	0.14968584661807777	0.0555286999338732	0.3821234756428857	False
Brain-Cerebellum_v_Breast-MammaryTissue	productive	844	842	0.0657131234479265	-0.001849928062690665	0.13267896896626896	0.0563511503669162	0.3821234756428857	False
Brain-Cerebellum_v_Skin-NotSunExposed_Suprapubic	productive	857	855	0.0650602489447636	-0.0019872400494453683	0.13152541416413	0.0569300109548697	0.3821234756428857	False
Brain-Caudate_basalganglia_v_Artery-Tibial	productive	605	603	0.0774328066029545	-0.0024136903219153724	0.1562982127222977	0.0569733724169459	0.3821234756428857	False
Brain-Anteriorcingulatecortex_BA24_v_Colon-Transverse	productive	647	645	0.0748654977118502	-0.002335701155967949	0.1511795784940926	0.0570036754645068	0.3821234756428857	False
Esophagus-Mucosa_v_Cells-EBV-transformedlymphocytes	productive	488	486	-0.0856386502423264	-0.1732442181123532	0.0033114611299147824	0.0586988437608344	0.3867415248928118	False
Brain-CerebellarHemisphere_v_Brain-FrontalCortex_BA9	productive	299	297	-0.1091691454548858	-0.22019922296816605	0.004653516123134344	0.0593700716727535	0.38894143544707266	False
Vagina_v_Brain-Substantianigra	productive	561	559	0.0793047429896068	-0.003630602106406431	0.16115656745082688	0.0604995493019922	0.3941015838711695	False
Testis_v_Spleen	productive	802	800	0.0660540217734419	-0.0032637803317508035	0.13474007909649288	0.0615187615099384	0.3962633073796591	False
Brain-Cortex_v_Testis	productive	977	975	0.0590286184593197	-0.0037586397992115865	0.12135228780918964	0.0651388765340909	0.4123458567875914	False
Brain-CerebellarHemisphere_v_MinorSalivaryGland	productive	856	854	0.0626173129680131	-0.004474262547732056	0.1291476873173014	0.0670789412051297	0.41252555606528984	False
Testis_v_Ovary	productive	805	803	0.0645500919017126	-0.004640786091800789	0.13312585013026304	0.0671733655171302	0.41252555606528984	False
Heart-LeftVentricle_v_Skin-SunExposed_Lowerleg	productive	450	448	0.0863268749557499	-0.006333299287420341	0.17751722086010155	0.0673108298138809	0.41252555606528984	False
Esophagus-GastroesophagealJunction_v_Liver	productive	389	387	0.0927209825651281	-0.006985534642187742	0.19060200780084188	0.0677305144612712	0.41252555606528984	False
Stomach_v_Brain-FrontalCortex_BA9	productive	694	692	0.0693639683826442	-0.0051745925868746856	0.14313599567561608	0.0678168221559562	0.41252555606528984	False
Spleen_v_Skin-SunExposed_Lowerleg	productive	364	362	0.0957730266386782	-0.0073246725014352	0.19685606284807555	0.0679790595424155	0.41252555606528984	False
Heart-LeftVentricle_v_Spleen	productive	400	398	0.0902259056456938	-0.008095645481063417	0.1868195963242957	0.0714590892529413	0.42740872270649694	False
Brain-CerebellarHemisphere_v_SmallIntestine-TerminalIleum	productive	851	849	0.0614947778810115	-0.005796504665374783	0.1282316412119199	0.0729761058207591	0.4310296144529253	False
Brain-Anteriorcingulatecortex_BA24_v_Ovary	productive	652	650	0.070197168891956	-0.006717121040796451	0.14628576029734103	0.0732603189623412	0.4310296144529253	False
Cells-Culturedfibroblasts_v_Liver	productive	419	417	0.0874913743867821	-0.008563004733493813	0.18194592840762785	0.073617143836147	0.4310296144529253	False
Esophagus-Muscularis_v_Brain-Putamen_basalganglia	productive	514	512	0.0789701125998617	-0.007703732012133733	0.16446623171508098	0.0736451292690601	0.4310296144529253	False
Muscle-Skeletal_v_Artery-Tibial	productive	598	596	0.07293904130641	-0.007388549105706111	0.15233133418225267	0.0747008634360808	0.43500048253434936	False
Esophagus-Muscularis_v_Brain-Hypothalamus	productive	512	510	0.078479647661906	-0.008365977626140098	0.1641502404641407	0.0760319578670501	0.43969511530676336	False
Brain-Cerebellum_v_Ovary	productive	718	716	0.0662012876545077	-0.007080390287875038	0.13877569942196866	0.0762697511373397	0.43969511530676336	False
Testis_v_MinorSalivaryGland	productive	797	795	0.0626527500641537	-0.006889713284873931	0.13159210478922861	0.0771073219947949	0.44068150208647333	False
Brain-Hypothalamus_v_Skin-NotSunExposed_Suprapubic	productive	757	755	0.0642674881672638	-0.007095034660753179	0.13497871653520216	0.0772052588217412	0.44068150208647333	False
Brain-Cortex_v_Uterus	productive	670	668	0.0681979257221972	-0.007674196776118754	0.14328932305674846	0.0777290411135408	0.44148563745769726	False
Vagina_v_Brain-Anteriorcingulatecortex_BA24	productive	674	672	0.0675973527022075	-0.008049185845526777	0.14247460554876148	0.079485677605379	0.4460905344836002	False
Artery-Aorta_v_Spleen	productive	424	422	-0.0850086986621323	-0.17896145977178096	0.010480471456394417	0.0803887651709969	0.4460905344836002	False
Spleen_v_Nerve-Tibial	productive	359	357	0.0923368595414093	-0.011497924872713712	0.19420153485065464	0.0806084480713395	0.4460905344836002	False
Artery-Aorta_v_Skin-NotSunExposed_Suprapubic	productive	378	376	-0.0899447439288611	-0.18929424320202595	0.011227648627449993	0.0807283655500284	0.4460905344836002	False
Heart-LeftVentricle_v_Liver	productive	356	354	0.092649247201186	-0.01162573990220879	0.19493083851387732	0.0808611636661513	0.4460905344836002	False
Artery-Aorta_v_Muscle-Skeletal	productive	592	590	0.0717084118620515	-0.009030711443426176	0.15151860844757528	0.0812815534193976	0.4462744337741211	False
Testis_v_Artery-Tibial	productive	790	788	0.0619001952238199	-0.007952458414562144	0.1311516734284209	0.0820809134565847	0.44795222968923437	False
Vagina_v_Pituitary	productive	304	302	0.0996945593967024	-0.013223199395738183	0.21010159687582647	0.0826701701456473	0.44795222968923437	False
Testis_v_Muscle-Skeletal	productive	805	803	0.061182608378935	-0.008014177749067833	0.1297962407618601	0.0827704043410069	0.44795222968923437	False
Brain-Cortex_v_Vagina	productive	687	685	0.0661563455719321	-0.008769709830896259	0.14034369913142844	0.0831411770628761	0.44795222968923437	False
Brain-Cortex_v_Cells-Culturedfibroblasts	productive	831	829	0.0600449274541443	-0.008057403080965255	0.12759282538125838	0.0836526268736418	0.44861152923399533	False
Pituitary_v_Liver	productive	455	453	0.0804408741066388	-0.011722371520383837	0.17124890494835493	0.0865432444811341	0.4564500680634576	False
Brain-Cortex_v_Kidney-Cortex	productive	657	655	0.0668861323914359	-0.009739873556525598	0.14273119972758175	0.0866978013060687	0.4564500680634576	False
